;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;;
;language:;Spanish;
;corpus:;Spanish Web 2011;
;word form;frequence;
175;recurso;7 571;0,093194156
176;comentario;7 535;0,092751019
177;ocasión;7 529;0,092677162
178;capacidad;7 516;0,092517141
179;población;7 482;0,092098623
180;banda;7 473;0,091987838
181;color;7 453;0,091741651
182;escuela;7 452;0,091729342
183;análisis;7 437;0,091544701
184;joven;7 403;0,091126183
185;edad;7 353;0,090510715
186;respecto;7 334;0,090276837
187;valencia;7 326;0,090178363
188;noche;7 305;0,089919866
189;prueba;7 269;0,089476729
190;público;7 267;0,08945211
191;mayoría;7 267;0,08945211
192;acceso;7 265;0,089427492
193;conjunto;7 246;0,089193614
194;riesgo;7 225;0,088935117
195;plaza;7 199;0,088615074
196;noticia;7 199;0,088615074
197;dise?o;7 169;0,088245793
198;duda;7 044;0,086707123
199;elemento;7 030;0,086534792
200;fuente;6 984;0,085968562
